Train No,Name,Type,Zone,Date From,Date To,From,Dep,To,Arr,Duration,Halts,SU,M,TU,W,TH,F,SA,Class,Distance,Speed,Return
623,Tirunelveli - Chenna...,Prm,SR,11/Nov,11/Nov,TEN,18:15,MS,07:05,12h 50m,4,,,,W,,,,SL 3A 2A,650 km,50 km/hr,622
624,Thiruvananthapuram -...,Prm,SR,11/Nov,11/Nov,TVC,19:00,MAS,11:30,16h 30m,18,,,,W,,,,SL 3A 2A,917 km,55 km/hr,6105
625,Tirunelveli - Chenna...,Prm,SR,15/Nov,22/Nov,TEN,14:45,MS,04:20,13h 35m,13,S,,,,,,,SL 3A 2A,650 km,47 km/hr,
626,Ernakulam - Chennai ...,Prm,SR,15/Nov,22/Nov,ERS,23:30,MAS,09:30,10h 0m,5,S,,,,,,,SL 3A 2A,699 km,69 km/hr,
627,Chennai Egmore - Tir...,Prm,SR,20/Nov,20/Nov,MS,21:05,TEN,10:45,13h 40m,12,,,,,,F,,SL 3A 2A,650 km,47 km/hr,
839,Howrah - Chennai Cen...,ACSF,SER,03/Nov,24/Nov,HWH,12:40,MAS,14:50,26h 10m,10,,,T,,,,,3A 2A,1661 km,63 km/hr,2848
855,Villupuram Puducherr...,Exp,SR,,,VM,15:05,PDY,15:30,0h 25m,0,,,,,T,,,,38 km,90 km/hr,604
863,Howrah - Yesvantpur ...,ACSF,SER,13/Nov,20/Nov,HWH,12:40,YPR,23:15,34h 35m,12,,,,,,F,,3A 2A,1956 km,56 km/hr,
1003,Mumbai CST - Karmali...,Exp,CR,04/Nov,25/Nov,CSTM,00:20,KRMI,11:30,11h 10m,12,,,,W,,,,2S SL 3A 2A,552 km,49 km/hr,1004
1004,Karmali - Mumbai CST...,Exp,CR,04/Nov,25/Nov,KRMI,14:20,CSTM,01:20,11h 0m,12,,,,W,,,,2S SL 3A 2A,552 km,50 km/hr,1003
1017,Mumbai LTT - Nagpur ...,SF,CR,10/Oct,21/Nov,LTT,00:45,NGP,14:30,13h 45m,11,,,,,,,S,2S SL 3A 2A,816 km,59 km/hr,1018
1018,Nagpur - Mumbai LTT ...,SF,CR,10/Oct,21/Nov,NGP,16:00,LTT,06:00,14h 0m,11,,,,,,,S,2S SL 3A 2A,816 km,58 km/hr,1017
1035,Mumbai CST - Gaya Ta...,Exp,CR,12/Oct,23/Nov,CSTM,00:20,GAYA,09:00,32h 40m,15,,M,,,,,,2S,1702 km,52 km/hr,1036
1036,Gaya - Mumbai CST Sp...,Exp,CR,13/Oct,24/Nov,GAYA,15:00,CSTM,23:15,32h 15m,16,,,T,,,,,,1702 km,52 km/hr,1035
1081,Dadar - Bhusawal SF ...,SF,CR,13/Nov,27/Nov,DR,21:45,BSL,04:00,6h 15m,5,,,,,,F,,2S SL 3A 2A,432 km,69 km/hr,1082
1082,Bhusawal - Dadar SF ...,SF,CR,14/Nov,28/Nov,BSL,08:35,DR,16:20,7h 45m,5,,,,,,,S,2S SL 3A 2A,432 km,55 km/hr,1081
1121,Mumbai CST - Gaya Ta...,Exp,CR,16/Nov,16/Nov,CSTM,00:20,GAYA,09:00,32h 40m,15,,M,,,,,,2S,1702 km,52 km/hr,1122
1122,Gaya - Mumbai CST Sp...,Exp,CR,19/Nov,19/Nov,GAYA,15:00,CSTM,23:15,32h 15m,16,,,,,T,,,,1702 km,52 km/hr,1121
1213,Mumbai CST - Hatia S...,SF,CR,16/Oct,20/Nov,CSTM,00:20,HTE,05:45,29h 25m,16,,,,,,F,,2S,1719 km,58 km/hr,1214
1214,Hatia - Mumbai CST S...,SF,CR,17/Oct,21/Nov,HTE,06:20,CSTM,13:15,30h 55m,15,,,,,,,S,,1719 km,55 km/hr,1213
1217,Pune - Nagpur SF Tat...,SF,CR,14/Nov,14/Nov,PUNE,10:30,NGP,02:00,15h 30m,11,,,,,,,S,2S 2A,937 km,60 km/hr,1218
1218,Nagpur - Pune SF Tat...,SF,CR,13/Nov,13/Nov,NGP,11:00,PUNE,02:45,15h 45m,11,,,,,,F,,2S 2A,937 km,59 km/hr,1217
1223,Nagpur - Pune SF Tat...,SF,CR,16/Nov,16/Nov,NGP,19:50,PUNE,11:45,15h 55m,8,,M,,,,,,2S SL 3A 2A,890 km,55 km/hr,1224
1224,Pune - Nagpur SF Tat...,SF,CR,17/Nov,17/Nov,PUNE,14:15,NGP,05:15,15h 0m,8,,,T,,,,,2S SL 3A 2A,890 km,59 km/hr,1223
1307,Akola-Narkher Specia...,Exp,SCR,16/Sep,31/Dec,AK,18:45,NRKR,23:10,4h 25m,7,S,,T,W,T,F,S,2S CC,218 km,49 km/hr,1308
1308,Narkher-Akola Specia...,Exp,SCR,17/Sep,31/Dec,NRKR,04:30,AK,09:05,4h 35m,7,S,M,,W,T,F,S,2S CC,218 km,47 km/hr,1307
1421,Diva - Panvel Specia...,Pass,CR,01/Oct,31/Jan,DIVA,20:25,PNVL,21:05,0h 40m,5,S,M,T,W,T,F,S,,26 km,38 km/hr,1422
1422,Panvel - Diva Specia...,Pass,CR,01/Oct,31/Jan,PNVL,21:15,DIVA,22:00,0h 45m,5,S,M,T,W,T,F,S,,26 km,34 km/hr,1421
1655,Pune - Jabalpur Week...,SF,WCR,,24/Nov,PUNE,10:45,JBP,06:15,19h 30m,11,,,T,,,,,SL 3A 2A,1050 km,53 km/hr,1656
1656,Jabalpur - Pune Week...,SF,WCR,,23/Nov,JBP,09:00,PUNE,04:05,19h 5m,11,,M,,,,,,SL 3A 2A,1050 km,55 km/hr,1655
1683,Bhopal - Lucknow Jn....,Exp,WCR,05/Nov,19/Nov,BPL,10:00,LJN,20:35,10h 35m,6,,,,,T,,,2S SL 3A 2A,584 km,55 km/hr,1684
1684,Lucknow Jn. - Bhopal...,Exp,WCR,06/Nov,20/Nov,LJN,00:10,BPL,11:35,11h 25m,6,,,,,,F,,2S SL 3A 2A,584 km,51 km/hr,1683
1701,Jabalpur - Patna Tat...,Exp,WCR,09/Nov,20/Nov,JBP,12:25,PNBE,03:15,14h 50m,11,S,M,,W,,F,,2S SL 3A 2A,714 km,48 km/hr,1702
1702,Patna - Jabalpur Spe...,Exp,WCR,08/Nov,21/Nov,PNBE,10:00,JBP,23:45,13h 45m,11,S,M,T,,T,,S,SL 3A 2A,714 km,51 km/hr,1701
1711,Mumbai CST - Jabalpu...,SF,WCR,,28/Nov,CSTM,11:05,JBP,05:10,18h 5m,12,,,,,,,S,SL 3A 2A,994 km,54 km/hr,1712
1712,Jabalpur - Mumbai LT...,SF,WCR,,25/Nov,JBP,22:15,LTT,14:50,16h 35m,14,,,,W,,,,SL 3A 2A,976 km,58 km/hr,1711
1713,Mumbai LTT - Bhopal ...,SF,WCR,,26/Nov,LTT,16:40,HBJ,07:20,14h 40m,9,,,,,T,,,SL 3A 2A,816 km,55 km/hr,1714
1714,Bhopal Habibganj - M...,SF,WCR,,27/Nov,HBJ,15:20,CSTM,06:15,14h 55m,10,,,,,,F,,SL 3A 2A,833 km,55 km/hr,1713
1715,Habibganj - Rewa Tat...,Exp,WCR,10/Nov,10/Nov,HBJ,11:30,REWA,21:55,10h 25m,8,,,T,,,,,2S CC,555 km,53 km/hr,1716
2071,Mumbai CST - Jammu T...,SF,CR,09/Oct,20/Nov,CSTM,06:35,JAT,18:00,35h 25m,13,,,,,,F,,2S SL 3A 2A,2120 km,59 km/hr,2072
2072,Jammu - Mumbai CST S...,SF,CR,11/Oct,22/Nov,JAT,07:20,CSTM,18:00,34h 40m,12,S,,,,,,,2S SL 3A 2A,2120 km,61 km/hr,2071
2081,Jaipur- Sikar MG Pas...,Pass,NWR,,,JP,18:50,SIKR,21:50,3h 0m,13,S,M,T,W,T,F,S,,107 km,35 km/hr,2082
2082,Sikar - Jaipur MG Pa...,Pass,NWR,,,SIKR,05:05,JP,08:40,3h 35m,11,S,M,T,W,T,F,S,,107 km,29 km/hr,2081
2085,Sikar-Churu MG Passe...,Pass,NWR,,,SIKR,14:15,CUR,16:30,2h 15m,7,S,M,T,W,T,F,S,,90 km,40 km/hr,2086
2086,Churu- Sikar MG Pass...,Pass,NWR,,,CUR,17:30,SIKR,19:40,2h 10m,7,S,M,T,W,T,F,S,,90 km,41 km/hr,2085
2087,Jaipur - Churu MG Pa...,Pass,NWR,,,JP,20:15,CUR,01:00,4h 45m,15,S,M,T,W,T,F,S,,198 km,41 km/hr,2088
2088,Churu - Jaipur MG P...,Pass,NWR,,,CUR,03:50,JP,09:30,5h 40m,19,S,M,T,W,T,F,S,,198 km,34 km/hr,2087
2089,Jaipur - Churu MG S...,Pass,NWR,,,JP,16:55,CUR,22:20,5h 25m,21,S,M,T,W,T,F,S,,198 km,36 km/hr,2090
2090,Churu - Jaipur MG Sp...,Pass,NWR,,,CUR,05:10,JP,11:15,6h 5m,21,S,M,T,W,T,F,S,,198 km,32 km/hr,2089
2093,Jaipur - Churu MG Pa...,Pass,NWR,,,JP,07:45,CUR,13:30,5h 45m,15,S,M,T,W,T,F,S,,198 km,34 km/hr,2094
2094,Churu - Jaipur MG Pa...,Pass,NWR,,,CUR,14:00,JP,19:35,5h 35m,17,S,M,T,W,T,F,S,,198 km,35 km/hr,2093
2095,Sikar - Churu MG Pa...,Pass,NWR,,,SIKR,07:25,CUR,09:50,2h 25m,7,S,M,T,W,T,F,S,,90 km,37 km/hr,2096
2096,Churu - Sikar MG Pas...,Pass,NWR,,,CUR,10:25,SIKR,12:45,2h 20m,7,S,M,T,W,T,F,S,,90 km,38 km/hr,2095
2107,Mumbai LTT - Lucknow...,ACSF,CR,14/Nov,28/Nov,LTT,14:20,LKO,13:45,23h 25m,11,,,,,,,S,3A 2A 1A,1407 km,60 km/hr,2108
2108,Lucknow - Mumbai LTT...,ACSF,CR,15/Nov,29/Nov,LKO,16:20,LTT,17:30,25h 10m,10,S,,,,,,,3A 2A 1A,1407 km,55 km/hr,2107
2185,Bhopal Habibganj - R...,SF,WCR,08/Nov,09/Nov,HBJ,23:30,REWA,09:30,10h 0m,7,S,M,,,,,,2S SL 3A,555 km,55 km/hr,2186
2186,Rewa - Bhopal Habibg...,SF,WCR,15/Nov,15/Nov,REWA,10:00,HBJ,20:00,10h 0m,7,S,,,,,,,2S SL 3A 2A 1A,555 km,55 km/hr,2185
2221,Pune - Howrah AC SF ...,ACSF,SER,19/Oct,23/Nov,PUNE,10:30,HWH,18:15,31h 45m,10,,M,,,,,,3A 2A,2068 km,65 km/hr,2222
2222,Howrah - Pune AC SF ...,ACSF,SER,17/Oct,21/Nov,HWH,18:30,PUNE,02:45,32h 15m,12,,,,,,,S,3A 2A,2068 km,64 km/hr,2221
2261,Sealdah - Kamakhya A...,ACSF,ER,17/Oct,14/Nov,SDAH,00:30,KYQ,19:00,18h 30m,6,,,,,,,S,3A 2A 1A,1000 km,54 km/hr,2262
2262,Kamakhya - Sealdah ...,ACSF,ER,17/Oct,14/Nov,KYQ,20:30,SDAH,12:30,16h 0m,6,,,,,,,S,3A 2A 1A,1000 km,62 km/hr,2261
2263,Sealdah - Ajmer AC T...,ACSF,ER,20/Oct,10/Nov,SDAH,18:30,AII,22:05,27h 35m,13,,,T,,,,,3A 2A,1647 km,59 km/hr,2264
2264,Ajmer - Sealdah AC S...,ACSF,ER,22/Oct,12/Nov,AII,00:05,SDAH,04:45,28h 40m,13,,,,,T,,,3A 2A,1647 km,57 km/hr,2263
2265,Sealdah - Anand Viha...,Prm,ER,17/Oct,14/Nov,SDAH,15:20,ANVT,13:45,22h 25m,5,,,,,,,S,3A 2A,1446 km,64 km/hr,2266
2266,Anand Vihar - Seald...,Prm,ER,18/Oct,15/Nov,ANVT,18:45,SDAH,16:40,21h 55m,5,S,,,,,,,3A 2A,1446 km,65 km/hr,2265
2365,Patna - Anand Vihar ...,SF,ECR,12/Nov,21/Nov,PNBE,23:45,ANVT,16:30,16h 45m,5,,,,,T,,S,SL 3A 2A,987 km,58 km/hr,2366
2366,Anand Vihar - Patna ...,SF,ECR,13/Nov,22/Nov,ANVT,18:45,PNBE,10:10,15h 25m,5,S,,,,,F,,SL 3A 2A,987 km,64 km/hr,2365
2421,Hazur Sahib Nanded -...,Exp,SCR,12/Nov,12/Nov,NED,11:50,NDLS,21:50,34h 0m,11,,,,,T,,,SL 3A 2A,1635 km,48 km/hr,2422
2422,New Delhi - Hazur Sa...,Exp,SCR,14/Nov,14/Nov,NDLS,06:30,NED,10:00,27h 30m,11,,,,,,,S,2S SL 3A 2A,1633 km,59 km/hr,2421
2485,Hazur Sahib Nanded -...,Exp,SCR,16/Nov,16/Nov,NED,11:50,NDLS,21:50,34h 0m,12,,M,,,,,,SL 3A 2A,1635 km,48 km/hr,2486
2486,New Delhi - Hazur Sa...,Exp,SCR,18/Nov,18/Nov,NDLS,08:35,NED,15:40,31h 5m,12,,,,W,,,,2S SL 3A 2A,1635 km,52 km/hr,2485
2501,Howrah - Guwahati W...,SF,NFR,11/Oct,29/Nov,HWH,14:15,GHY,07:45,17h 30m,10,S,,,,,,,2S SL 3A 2A 1A,999 km,57 km/hr,2502
2502,Guwahati - Howrah W...,SF,NFR,10/Oct,28/Nov,GHY,21:40,HWH,13:35,15h 55m,10,,,,,,,S,2S SL 3A 2A 1A,999 km,62 km/hr,2501
2503,Kamakhya - Anand Vih...,ACExp,NFR,14/Oct,25/Nov,KYQ,10:00,ANVT,20:50,34h 50m,8,,,,W,,,,3A 2A,1905 km,54 km/hr,2504
2504,Anand Vihar - Kamakh...,ACExp,NFR,,,ANVT,05:15,KYQ,19:30,38h 15m,9,,,,,,F,,3A 2A,1879 km,49 km/hr,2503
2509,Bengaluru Cantt. - K...,Prm,NFR,16/Oct,27/Nov,BNC,10:15,KYQ,13:30,51h 15m,13,,,,,,F,,SL 3A 2A,2967 km,57 km/hr,2510
2510,Kamakhya - Bengaluru...,Prm,NFR,13/Oct,24/Nov,KYQ,20:10,BNC,21:15,49h 5m,13,,,T,,,,,SL 3A 2A,2967 km,60 km/hr,2509
2511,Pune - Kamakhya SF S...,SF,NFR,,26/Nov,PUNE,10:30,KYQ,15:25,52h 55m,23,,,,,T,,,2S SL 3A 2A,2860 km,54 km/hr,2512
2512,Kamakhya - Pune SF S...,SF,NFR,,23/Nov,KYQ,22:05,PUNE,02:45,52h 40m,23,,M,,,,,,SL 3A 2A,2860 km,54 km/hr,2511
2533,Gorakhpur - Bandra T...,SF,NER,29/Oct,19/Nov,GKP,07:00,BDTS,17:35,34h 35m,21,,,,,T,,,SL 3A 2A,1956 km,56 km/hr,2534
2534,Bandra Terminus - Go...,Prm,NER,31/Oct,21/Nov,BDTS,05:10,GKP,14:40,33h 30m,21,,,,,,,S,SL 3A 2A,1955 km,58 km/hr,2533
2540,Darjeeling - New Jal...,Toy,NFR,,,DJ,10:15,NJP,17:45,7h 30m,11,S,M,T,W,T,F,S,FC,84 km,11 km/hr,2541
2541,New Jalpaiguri - Dar...,Toy,NFR,,,NJP,08:30,DJ,16:00,7h 30m,11,S,M,T,W,T,F,S,FC,84 km,11 km/hr,2540
2620,Jaipur - Yesvantpur ...,Exp,SWR,13/Nov,13/Nov,JP,22:15,YPR,19:00,44h 45m,24,,,,,,F,,SL 3A 2A,2326 km,51 km/hr,2619
2651,Palani - Pollachi Ex...,Exp,SR,,,PLNI,07:45,POY,09:10,1h 25m,1,S,M,T,W,T,F,S,,63 km,44 km/hr,2652
2652,Pollachi - Palani Ex...,Exp,SR,,,POY,16:45,PLNI,18:10,1h 25m,1,S,M,T,W,T,F,S,,63 km,44 km/hr,2651
2729,Pune-Hazur Sahib Nan...,Exp,SCR,04/Oct,06/Dec,PUNE,21:35,NED,10:00,12h 25m,11,S,,,,,,,SL 3A 2A,661 km,53 km/hr,2730
2730,Hazur Sahib Nanded -...,Exp,SCR,03/Oct,05/Dec,NED,20:50,PUNE,09:20,12h 30m,11,,,,,,,S,SL 3A 2A,661 km,52 km/hr,2729
2779,Vasco da Gama - Beng...,SF,SWR,,,VSG,15:10,SBC,07:00,15h 50m,19,S,M,T,W,T,F,S,SL 3A,669 km,42 km/hr,6948
2792,Patna - Secunderabad...,Exp,SCR,09/Nov,09/Nov,PNBE,09:30,SC,19:25,33h 55m,11,,M,,,,,,2S SL 3A 2A,1838 km,54 km/hr,2791
2793,Secunderabad-Patna S...,Prm,SCR,13/Nov,13/Nov,SC,21:40,PNBE,08:05,34h 25m,11,,,,,,F,,SL 3A 2A,1838 km,53 km/hr,2794
2794,Patna - Secunderabad...,Prm,SCR,19/Nov,19/Nov,PNBE,17:30,SC,04:35,35h 5m,11,,,,,T,,,SL 3A 2A,1838 km,52 km/hr,2793
2836,Ernakulam - Howrah S...,SF,SER,27/Oct,24/Nov,ERS,08:50,HWH,23:00,38h 10m,20,,,T,,,,,SL 3A 2A,2301 km,60 km/hr,2835
2837,Howrah - Puri SF (Ta...,SF,SER,15/Oct,19/Nov,HWH,20:40,PURI,04:10,7h 30m,7,,,,,T,,,SL 3A 2A,500 km,66 km/hr,2838
2838,Puri - Howrah SF (Ta...,SF,SER,16/Oct,20/Nov,PURI,19:45,HWH,04:40,8h 55m,7,,,,,,F,,SL 3A 2A,500 km,56 km/hr,2837
2841,Santragachi - Chenna...,SF,SER,14/Oct,25/Nov,SRC,19:00,MAS,23:50,28h 50m,17,,,,W,,,,SL 3A 2A,1654 km,57 km/hr,2842
2842,Chennai Central - Sa...,SF,SER,23/Oct,27/Nov,MAS,07:55,SRC,10:25,26h 30m,17,,,,,,F,,SL 3A 2A,1654 km,62 km/hr,2841
2848,Chennai Central - Ho...,ACSF,SER,04/Nov,25/Nov,MAS,17:10,HWH,18:30,25h 20m,10,,,,W,,,,3A 2A,1661 km,65 km/hr,839
2849,Shalimar - Secundera...,Exp,SER,11/Oct,22/Nov,SHM,12:10,SC,15:00,26h 50m,19,S,,,,,,,SL 3A 2A,1577 km,58 km/hr,2850
2850,Secunderabad - Shali...,Exp,SER,12/Oct,23/Nov,SC,21:40,SHM,03:00,29h 20m,19,,M,,,,,,SL 3A 2A,1577 km,53 km/hr,2849
2853,Howrah - Ernakulam (...,Prm,SER,10/Oct,21/Nov,HWH,17:00,ERS,06:00,37h 0m,17,,,,,,,S,SL 3A 2A,2291 km,61 km/hr,2854
2864,Yesvantpur - Howrah ...,Prm,SER,18/Oct,22/Nov,YPR,10:45,HWH,18:30,31h 45m,12,S,,,,,,,3A 2A,1968 km,61 km/hr,2863
2877,Vishakapatnam - Kris...,SF,ECoR,,25/Nov,VSKP,19:00,KJM,14:00,19h 0m,11,,,,W,,,S,2S SL 3A 2A,1066 km,56 km/hr,2878
2878,Krishnarajapuram - V...,SF,ECoR,,26/Nov,KJM,17:10,VSKP,12:25,19h 15m,11,S,,,,T,,,2S SL 3A 2A,1066 km,55 km/hr,2877
3041,Howrah - Raxaul Chha...,Exp,ER,12/Nov,26/Nov,HWH,22:50,RXL,16:05,17h 15m,17,,,,,T,,,,699 km,40 km/hr,3042
3042,Raxaul - Howrah Chha...,Exp,ER,13/Nov,27/Nov,RXL,19:45,HWH,12:15,16h 30m,17,,,,,,F,,,699 km,42 km/hr,3041
3043,Howrah - Raxaul Spec...,Exp,ER,16/Oct,13/Nov,HWH,15:00,RXL,06:15,15h 15m,12,,,,,,F,,SL 3A 2A,686 km,45 km/hr,3044
3044,Raxaul - Asansol Spe...,Exp,ER,17/Oct,14/Nov,RXL,08:00,ASN,22:00,14h 0m,9,,,,,,,S,SL 3A 2A,486 km,34 km/hr,3043
3059,Howrah - New Jalpaig...,SF,ER,21/Oct,11/Nov,HWH,23:55,NJP,10:10,10h 15m,6,,,,W,,,,SL 3A 2A 1A,566 km,55 km/hr,3060
3060,New Jalpaiguri - How...,SF,ER,22/Oct,12/Nov,NJP,12:35,HWH,22:50,10h 15m,6,,,,,T,,,SL 3A 2A 1A,566 km,55 km/hr,3059
3061,Howrah - Mumbai LTT ...,Exp,ER,20/Oct,10/Nov,HWH,08:15,LTT,00:20,40h 5m,25,,,T,,,,,2S SL 3A 2A,2142 km,53 km/hr,3062
3062,Mumbai LTT - Howrah ...,Exp,ER,22/Oct,12/Nov,LTT,15:50,HWH,08:25,40h 35m,24,,,,,T,,,2S SL 3A 2A,2142 km,52 km/hr,3061
3067,Howrah - Nautanwa Ja...,Exp,ER,18/Oct,29/Nov,HWH,22:50,NTV,22:30,23h 40m,20,S,,,,,,,,937 km,39 km/hr,3068
3068,Nautanwa - Howrah Ja...,Exp,ER,19/Oct,30/Nov,NTV,23:45,HWH,20:15,20h 30m,20,,M,,,,,,,937 km,45 km/hr,3067
3101,Sealdah - Puri SF Sp...,SF,ER,18/Oct,15/Nov,SDAH,12:35,PURI,22:00,9h 25m,7,S,,,,,,,SL 3A 2A 1A,518 km,55 km/hr,3102
3102,Puri - Sealdah SF Sp...,SF,ER,18/Oct,15/Nov,PURI,23:55,SDAH,09:20,9h 25m,7,S,,,,,,,SL 3A 2A 1A,519 km,55 km/hr,3101
3129,Kolkata - AlipurDuar...,Exp,ER,18/Oct,15/Nov,KOAA,22:45,APDJ,13:25,14h 40m,9,S,,,,,,,SL 3A 2A,738 km,50 km/hr,3130
3130,Alipur Duar Jn - Kol...,Exp,ER,19/Oct,16/Nov,APDJ,16:50,KOAA,08:45,15h 55m,9,,M,,,,,,SL 3A 2A,738 km,46 km/hr,3129
3151,Sealdah - Jammu Tawi...,SF,ER,15/Oct,12/Nov,SDAH,23:55,JAT,10:30,34h 35m,19,,,,,T,,,2S SL 3A 2A,1967 km,56 km/hr,3152
3152,Jammu Tawi - Sealdah...,SF,ER,24/Oct,14/Nov,JAT,20:10,SDAH,06:30,34h 20m,19,,,,,,,S,2S SL 3A 2A,1967 km,57 km/hr,3151
3327,Dhanbad - Sitamarhi ...,Exp,ECR,14/Nov,21/Nov,DHN,19:45,SMI,07:05,11h 20m,14,,,,,,,S,2S SL 3A 2A,441 km,38 km/hr,3328
3328,Sitamarhi - Dhanbad ...,Exp,ECR,15/Nov,22/Nov,SMI,09:30,DHN,22:55,13h 25m,14,S,,,,,,,2S SL 3A 2A,441 km,32 km/hr,3327
3427,Malda Town - Haridwa...,Exp,ER,19/Oct,16/Nov,MLDT,09:05,HW,14:25,29h 20m,19,,M,,,,,,SL 3A 2A,1409 km,48 km/hr,3428
3428,Haridwar - Malda Tow...,Exp,ER,20/Oct,17/Nov,HW,16:25,MLDT,23:30,31h 5m,18,,,T,,,,,SL 3A 2A,1409 km,45 km/hr,3427
3429,Malda Town - Anand V...,Exp,ER,23/Nov,30/Nov,MLDT,09:05,ANVT,14:20,29h 15m,20,,M,,,,,,SL 3A 2A,1395 km,47 km/hr,3430
3430,Anand Vihar - Malda ...,Exp,ER,24/Nov,01/Dec,ANVT,17:10,MLDT,23:50,30h 40m,20,,,T,,,,,SL 3A 2A,1395 km,45 km/hr,3429
3431,Malda Town - Anand V...,Exp,ER,19/Nov,19/Nov,MLDT,06:30,ANVT,14:20,31h 50m,21,,,,,T,,,SL 3A 2A,1395 km,43 km/hr,3432
3432,Anand Vihar - Malda ...,Exp,ER,20/Nov,20/Nov,ANVT,19:15,MLDT,03:45,32h 30m,21,,,,,,F,,2S SL 3A 2A,1395 km,42 km/hr,3431
3511,Asansol - Patna Spec...,Exp,ER,18/Oct,29/Nov,ASN,07:15,PNBE,14:00,6h 45m,11,S,,,,,,,2S,331 km,49 km/hr,3512
3512,Patna - Asansol Spec...,Exp,ER,18/Oct,29/Nov,PNBE,15:10,ASN,22:00,6h 50m,11,S,,,,,,,2S,331 km,48 km/hr,3511
3585,Kolkata Chitpur - Ja...,Exp,ER,16/Nov,30/Nov,KOAA,20:05,JYG,09:30,13h 25m,13,,M,,,,,,SL,607 km,45 km/hr,3586
3586,Jaynagar - Asansol C...,Exp,ER,17/Nov,01/Dec,JYG,12:00,ASN,22:00,10h 0m,10,,,T,,,,,SL,403 km,40 km/hr,3585
4053,Delhi - Dehradun AC ...,ACExp,NR,10/Nov,15/Nov,DLI,14:40,DDN,22:00,7h 20m,5,S,,T,,,,,3A 2A 1A,300 km,40 km/hr,4054
4054,Dehradun - Delhi AC ...,ACExp,NR,10/Nov,15/Nov,DDN,06:45,DLI,13:50,7h 5m,5,S,,T,,,,,3A 2A 1A,300 km,42 km/hr,4053
4117,Allahabad - Anand Vi...,SF,NCR,15/Nov,15/Nov,ALD,19:55,ANVT,06:15,10h 20m,3,S,,,,,,,2S SL 3A 2A,622 km,60 km/hr,4118
4118,Anand Vihar - Allaha...,SF,NCR,16/Nov,16/Nov,ANVT,10:15,ALD,20:50,10h 35m,3,,M,,,,,,2S SL 3A 2A,622 km,58 km/hr,4117
4401,Anand Vihar - Udhamp...,Exp,NR,,30/Nov,ANVT,21:00,UHP,11:40,14h 40m,9,,M,,,T,,S,2S SL,685 km,46 km/hr,4402
4402,Udhampur - Anand Vih...,Exp,NR,,01/Dec,UHP,14:40,ANVT,06:00,15h 20m,9,S,,T,,,F,,2S SL,685 km,44 km/hr,4401
4403,Lucknow - Anand Viha...,Exp,NR,,29/Nov,LKO,06:50,ANVT,15:50,9h 0m,3,S,,,,,,,2S SL 3A,479 km,53 km/hr,4404
4404,Anand Vihar - Luckno...,Exp,NR,,27/Nov,ANVT,19:35,LKO,04:40,9h 5m,3,,,,,,F,,2S SL 3A,479 km,52 km/hr,4403
4405,Lucknow - New Delhi ...,Exp,NR,,28/Nov,LKO,06:50,NDLS,16:00,9h 10m,3,,,,,,,S,2S SL 3A,492 km,53 km/hr,4406
4406,New Delhi - Lucknow ...,Exp,NR,,28/Nov,NDLS,19:25,LKO,04:40,9h 15m,3,,,,,,,S,2S SL 3A,492 km,53 km/hr,4405
4407,Darbhanga - Delhi Su...,Prm,NR,14/Oct,28/Nov,DBG,12:00,DLI,12:40,24h 40m,12,,,,W,,,S,SL 3A,1139 km,46 km/hr,4408
4408,Delhi - Darbhanga Su...,Prm,NR,13/Oct,27/Nov,DLI,11:15,DBG,09:00,21h 45m,12,,,T,,,F,,SL 3A,1139 km,52 km/hr,4407
4409,New Delhi - Shri Mat...,ACExp,NR,02/Oct,17/Nov,NDLS,07:50,SVDK,20:20,12h 30m,7,,,T,,,F,,CC Ex,654 km,52 km/hr,4410
4410,Shri Mata Vaishno De...,ACExp,NR,01/Oct,16/Nov,SVDK,05:40,NDLS,17:00,11h 20m,7,,M,,,T,,,CC Ex,654 km,57 km/hr,4409
4411,Delhi-Sh. Mata Vaish...,Prm,NR,01/Oct,28/Nov,DLI,23:05,SVDK,12:15,13h 10m,7,,M,,,T,,S,SL 3A,653 km,49 km/hr,4412
4412,Sh.Mata Vaishno Devi...,Prm,NR,02/Oct,29/Nov,SVDK,20:15,DLI,10:15,14h 0m,7,S,,T,,,F,,SL 3A,653 km,46 km/hr,4411
4413,Lucknow - New Delhi ...,ACExp,NR,02/Oct,29/Nov,LKO,21:30,NDLS,06:20,8h 50m,4,S,,T,,,F,,CC Ex,492 km,55 km/hr,4414
4414,New Delhi - Lucknow ...,ACExp,NR,01/Oct,28/Nov,NDLS,21:40,LKO,06:30,8h 50m,4,,M,,,T,,S,CC Ex,492 km,55 km/hr,4413
4415,Barauni - New Delhi ...,Prm,NR,14/Oct,28/Nov,BJU,21:35,NDLS,22:10,24h 35m,12,,,,W,,,S,3A 2A,1157 km,47 km/hr,4416
4416,New Delhi - Barauni ...,Prm,NR,13/Oct,27/Nov,NDLS,19:25,BJU,18:50,23h 25m,12,,,T,,,F,,3A 2A,1157 km,49 km/hr,4415
4417,Pune - Hazrat Nizamu...,ACExp,NR,18/Oct,29/Nov,PUNE,05:15,NZM,05:35,24h 20m,8,S,,,,,,,3A 2A 1A,1516 km,62 km/hr,4418
4418,Hazrat Nizamuddin - ...,ACSF,NR,16/Oct,27/Nov,NZM,21:35,PUNE,21:25,23h 50m,8,,,,,,F,,3A 2A 1A,1516 km,63 km/hr,4417
