Train No,Name,Type,Zone,Date From,Date To,From,Dep,To,Arr,Duration,Halts,SU,M,TU,W,TH,F,SA,Class,Distance,Speed,Return
13281,New Tinsukia - Rajen...,Exp,ECR,,,NTSK,06:30,RJPB,14:00,31h 30m,27,,M,,,,,,SL 3A 2A,1446 km,45 km/hr,13282
13282,Rajendra Nagar Patna...,Exp,ECR,,,RJPB,15:10,NTSK,22:50,31h 40m,27,,,,,,,S,SL 3A 2A,1446 km,45 km/hr,13281
13287,South Bihar Express ...,Exp,ECR,,,DURG,07:25,RJPB,07:05,23h 40m,49,S,M,T,W,T,F,S,SL 3A 2A 1A,1110 km,46 km/hr,13288
13288,South Bihar Express,Exp,ECR,,,RJPB,20:25,DURG,20:40,24h 15m,50,S,M,T,W,T,F,S,SL 3A 2A 1A,1110 km,45 km/hr,13287
13301,Swarna Rekha Express,Exp,ECR,,,DHN,05:35,TATA,11:15,5h 40m,10,S,M,T,W,T,F,S,2S CC,187 km,33 km/hr,13302
13302,Swarna Rekha Express,Exp,ECR,,,TATA,13:20,DHN,18:45,5h 25m,10,S,M,T,W,T,F,S,2S CC,187 km,34 km/hr,13301
13303,Dhanbad - Ranchi Int...,Exp,ECR,,,DHN,05:40,RNC,09:55,4h 15m,6,S,M,T,W,T,F,S,,166 km,39 km/hr,13304
13304,Ranchi-Dhanbad Inter...,Exp,ECR,,,RNC,18:15,DHN,22:35,4h 20m,6,S,M,T,W,T,F,S,,166 km,38 km/hr,13303
13305,Dhanbad-Gaya Interci...,Exp,ECR,,,DHN,06:00,GAYA,09:55,3h 55m,15,S,M,T,W,T,F,S,,200 km,50 km/hr,13306
13306,Gaya-Dhanbad Interci...,Exp,ECR,,,GAYA,17:40,DHN,21:35,3h 55m,15,S,M,T,W,T,F,S,,200 km,50 km/hr,13305
13307,Ganga Sutlej Express...,Exp,ECR,,,DHN,21:20,FZR,10:15,36h 55m,76,S,M,T,W,T,F,S,SL 3A 2A,1603 km,43 km/hr,13308
13308,Ganga Sutlej Expres...,Exp,ECR,,,FZR,18:25,DHN,04:55,34h 30m,67,S,M,T,W,T,F,S,SL 3A 2A,1603 km,46 km/hr,13307
13319,Deoghar - Ranchi Int...,Exp,ECR,,,DGHR,04:45,RNC,12:50,8h 5m,18,S,M,T,W,T,F,S,,330 km,40 km/hr,13320
13320,Ranchi - Deoghar Int...,Exp,ECR,,,RNC,13:25,DGHR,21:40,8h 15m,18,S,M,T,W,T,F,S,,330 km,39 km/hr,13319
13329,Ganga Damodar Expres...,Exp,ECR,,,DHN,23:10,PNBE,05:15,6h 5m,9,S,M,T,W,T,F,S,SL 3A 2A,292 km,48 km/hr,13330
13330,Ganga Damodar Expres...,Exp,ECR,,,PNBE,23:30,DHN,05:20,5h 50m,9,S,M,T,W,T,F,S,SL 3A 2A,292 km,50 km/hr,13329
13331,Dhanbad - Patna Inte...,Exp,ECR,,,DHN,08:25,PNBE,17:10,8h 45m,19,,M,T,W,T,F,S,SL 3A 2A,369 km,42 km/hr,13332
13332,Patna-Dhanbad InterC...,Exp,ECR,,,PNBE,08:40,DHN,16:35,7h 55m,19,,M,T,W,T,F,S,SL 3A 2A,369 km,46 km/hr,13331
13345,Varanasi-Singrauli I...,Exp,ECR,,,KEI,14:24,SGRL,20:50,6h 26m,3,S,M,T,W,T,F,S,CC,165 km,25 km/hr,13346
13346,Singrauli - Varanasi...,Exp,ECR,,,SGRL,05:45,BSB,13:00,7h 15m,6,S,M,T,W,T,F,S,CC,210 km,28 km/hr,13345
13347,Palamau Express,Exp,ECR,,,BRKA,18:10,PNBE,08:10,14h 0m,30,S,M,T,W,T,F,S,SL,492 km,35 km/hr,13348
13348,Palamau Express,Exp,ECR,,,PNBE,19:30,BRKA,07:55,12h 25m,30,S,M,T,W,T,F,S,SL,492 km,39 km/hr,13347
13351,Dhanbad - Alappuzha ...,Exp,ECR,,,DHN,10:50,ALLP,19:25,56h 35m,93,S,M,T,W,T,F,S,SL 3A 2A,2537 km,44 km/hr,13352
