Train No,Name,Type,Zone,Date From,Date To,From,Dep,To,Arr,Duration,Halts,SU,M,TU,W,TH,F,SA,Class,Distance,Speed,Return
12153,Mumbai LTT - Bhopal ...,SF,CR,,,LTT,16:25,HBJ,5:30,13h 5m,8,,,,,T,,,SL 3A 2A,816 km,62 km/hr,12154
12154,Bhopal Habibganj - M...,SF,CR,,,HBJ,18:20,LTT,7:30,13h 10m,8,,,,,,F,,SL 3A 2A,816 km,61 km/hr,12153
12155,Shaan-E-Bhopal SF Ex...,SF,WCR,,,HBJ,21:05,NZM,8:00,10h 55m,8,S,M,T,W,T,F,S,SL 3A 2A 1A,701 km,64 km/hr,12156
12156,Shaan E Bhopal SF Ex...,SF,WCR,,,NZM,20:55,HBJ,7:05,10h 10m,8,S,M,T,W,T,F,S,SL 3A 2A 1A,701 km,68 km/hr,12155
12157,Pune-Solapur Hutatma...,SF,CR,,,PUNE,18:00,SUR,22:00,4h 0m,2,S,M,T,W,T,F,S,2S CC,263 km,65 km/hr,12158
12158,Solapur-Pune Hutatma...,SF,CR,,,SUR,6:30,PUNE,10:30,4h 0m,2,S,M,T,W,T,F,S,2S CC,263 km,65 km/hr,12157
12159,Amravati - Jabalpur ...,SF,WCR,,,AMI,17:45,JBP,6:55,13h 10m,18,S,M,T,W,T,F,S,SL 3A 2A 1A,724 km,54 km/hr,12160
12160,Jabalpur - Amravati ...,SF,WCR,,,JBP,20:50,AMI,9:50,13h 0m,18,S,M,T,W,T,F,S,SL 3A 2A 1A,724 km,55 km/hr,12159
12161,Lashkar Superfast Ex...,SF,CR,,,LTT,16:25,AGC,13:00,20h 35m,20,,,,,,F,,SL 3A 2A,1330 km,64 km/hr,12162
12162,Lashkar Superfast Ex...,SF,CR,,,AGC,23:35,LTT,22:35,23h 0m,19,,,,,,,S,SL 3A 2A,1330 km,57 km/hr,12161
12163,Dadar Central - Chen...,SF,CR,,,DR,20:30,MS,19:45,23h 15m,22,S,M,T,W,T,F,S,SL 3A 2A 1A,1277 km,54 km/hr,12164
12164,Chennai Egmore - Dad...,SF,CR,,,MS,6:50,DR,6:00,23h 10m,20,S,M,T,W,T,F,S,SL 3A 2A 1A,1277 km,55 km/hr,12163
12165,Ratnagiri Express (P...,SF,CR,,,LTT,5:20,BSB,7:05,25h 45m,13,,M,,,T,F,,SL 3A 2A,1477 km,57 km/hr,12166
12166,Ratnagiri Express,SF,CR,,,BSB,20:20,LTT,21:30,25h 10m,13,,,T,,,F,S,SL 3A 2A,1477 km,58 km/hr,12165
12167,Mumbai LTT - Varana...,SF,CR,,,LTT,0:35,BSB,3:45,27h 10m,12,S,M,T,W,T,F,S,SL 3A 2A 1A,1468 km,54 km/hr,12168
12168,Varanasi - Mumbai LT...,SF,CR,,,BSB,10:25,LTT,12:25,26h 0m,11,S,M,T,W,T,F,S,SL 3A 2A 1A,1491 km,57 km/hr,12167
12169,Pune-Solapur InterCi...,SF,CR,,,PUNE,9:30,SUR,13:30,4h 0m,3,S,M,T,W,T,F,S,2S CC,263 km,65 km/hr,12170
12170,Solapur-Pune Interci...,SF,CR,,,SUR,14:00,PUNE,18:05,4h 5m,3,S,M,T,W,T,F,S,2S CC,263 km,64 km/hr,12169
